ICAO,PHASE,RANGE_NM,SECTOR,SECTOR_LABEL,SECTOR_SEQ,BEARING_FROM,BEARING_TO,RANGE_NORTH_OVERRUN,SECTOR_CROSSES_NORTH,DECISION_STATUS,DECISION_NOTE
EDDF,DEP,40,BRG065-155,DEP BRG065-155,1,65,155,TRUE,FALSE,APPROVED,Merge the shallow 115-degree cut; weighted pooled P20 shift is 3 seconds and 1.5 percent of movements exceed an 80-second shift.
EDDF,DEP,40,BRG155-215,DEP BRG155-215,2,155,215,TRUE,FALSE,APPROVED,Retain the deep valley after the merged family.
EDDF,DEP,40,BRG215-280,DEP BRG215-280,3,215,280,TRUE,FALSE,APPROVED,Retain; conditional P50 difference is 108 seconds and pooling affects 24.9 percent of movements by more than 80 seconds.
EDDF,DEP,40,BRG280-335,DEP BRG280-335,4,280,335,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EDDF,DEP,40,BRG335-065,DEP BRG335-065,5,335,65,TRUE,TRUE,APPROVED,North-overrun sector.
EDDF,DEP,100,BRG075-115,DEP BRG075-115,1,75,115,TRUE,FALSE,APPROVED,Retain to balance the North and east family.
EDDF,DEP,100,BRG115-155,DEP BRG115-155,2,115,155,TRUE,FALSE,APPROVED,Retain the family edge.
EDDF,DEP,100,BRG155-230,DEP BRG155-230,3,155,230,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EDDF,DEP,100,BRG230-275,DEP BRG230-275,4,230,275,TRUE,FALSE,APPROVED,Retain; conditional P50 difference is 124 seconds.
EDDF,DEP,100,BRG275-325,DEP BRG275-325,5,275,325,TRUE,FALSE,APPROVED,Retain the outer edge of the North and east family.
EDDF,DEP,100,BRG325-075,DEP BRG325-075,6,325,75,TRUE,TRUE,APPROVED,Merge candidate cuts at 000 and 035 degrees; cumulative weighted pooled P20 shift is 17 seconds within the affected family and 1.5 percent of its movements exceed an 80-second shift.
EDDM,DEP,40,BRG005-050,DEP BRG005-050,1,5,50,TRUE,FALSE,APPROVED,Use the 005-degree seam for a human-readable North overrun boundary close to the observed valley.
EDDM,DEP,40,BRG050-120,DEP BRG050-120,2,50,120,TRUE,FALSE,APPROVED,Merge the 085-degree cut; pooling impact is small within the connected family.
EDDM,DEP,40,BRG120-205,DEP BRG120-205,3,120,205,TRUE,FALSE,APPROVED,Merge the 160-degree cut; the cumulative merged-family weighted P20 shift is 10 seconds with no movements above an 80-second shift.
EDDM,DEP,40,BRG205-275,DEP BRG205-275,4,205,275,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EDDM,DEP,40,BRG275-300,DEP BRG275-300,5,275,300,TRUE,FALSE,APPROVED,Retain to avoid pooling sparse cells with larger reference-time shifts.
EDDM,DEP,40,BRG300-005,DEP BRG300-005,6,300,5,TRUE,TRUE,APPROVED,North-overrun sector.
EDDM,DEP,100,BRG005-075,DEP BRG005-075,1,5,75,TRUE,FALSE,APPROVED,Use the 005-degree seam and merge the 045-degree cut; pooling has a 4-second weighted P20 shift with no movements above 80 seconds.
EDDM,DEP,100,BRG075-160,DEP BRG075-160,2,75,160,TRUE,FALSE,APPROVED,Merge the 120-degree twin-peak cut; pooling changes the weighted P20 reference by 14 seconds and only two sparse runway-class cells exceed 80 seconds.
EDDM,DEP,100,BRG160-230,DEP BRG160-230,3,160,230,TRUE,FALSE,APPROVED,Retain the valley-safe 160-degree boundary nearest the observed valley floor.
EDDM,DEP,100,BRG230-295,DEP BRG230-295,4,230,295,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EDDM,DEP,100,BRG295-005,DEP BRG295-005,5,295,5,TRUE,TRUE,APPROVED,North-overrun sector.
EGKK,DEP,40,BRG020-065,DEP BRG020-065,1,20,65,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EGKK,DEP,40,BRG065-125,DEP BRG065-125,2,65,125,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EGKK,DEP,40,BRG125-210,DEP BRG125-210,3,125,210,TRUE,FALSE,APPROVED,Retain the clear candidate boundary.
EGKK,DEP,40,BRG210-320,DEP BRG210-320,4,210,320,TRUE,FALSE,APPROVED,Merge the 275-degree cut; weighted pooled P20 shift is 4 seconds with no movements above an 80-second shift.
EGKK,DEP,40,BRG320-020,DEP BRG320-020,5,320,20,TRUE,TRUE,APPROVED,North-overrun sector.
EGKK,DEP,100,BRG000-070,DEP BRG000-070,1,0,70,FALSE,FALSE,PENDING_SEAM,Retain the selected boundary pending a human-readable representation of the non-overrunning North seam.
EGKK,DEP,100,BRG070-130,DEP BRG070-130,2,70,130,FALSE,FALSE,PENDING_SEAM,Retain the clear candidate boundary.
EGKK,DEP,100,BRG130-195,DEP BRG130-195,3,130,195,FALSE,FALSE,PENDING_SEAM,Merge the 165-degree cut; weighted pooled P20 shift is 9 seconds with no movements above an 80-second shift.
